timestamp,Power
20161001:0030,0
20161001:0130,0
20161001:0230,0
20161001:0330,0
20161001:0430,0
20161001:0530,0
20161001:0630,1369.5
20161001:0730,6572.5
20161001:0830,12361
20161001:0930,15340
20161001:1030,6283.5
20161001:1130,5243.5
20161001:1230,11873.5
20161001:1330,28464.5
20161001:1430,18892.5
20161001:1530,13175.5
20161001:1630,2938
20161001:1730,0
20161001:1830,0
20161001:1930,0
20161001:2030,0
20161001:2130,0
20161001:2230,0
20161001:2330,0
20161002:0030,0
20161002:0130,0
20161002:0230,0
20161002:0330,0
20161002:0430,0
20161002:0530,0
20161002:0630,2238.5
20161002:0730,10351.5
20161002:0830,22129.5
20161002:0930,25472
20161002:1030,25712
20161002:1130,25010.5
20161002:1230,26921.5
20161002:1330,17443
20161002:1430,15947
20161002:1530,10702
20161002:1630,3815.5
20161002:1730,0
20161002:1830,0
20161002:1930,0
20161002:2030,0
20161002:2130,0
20161002:2230,0
20161002:2330,0
20161003:0030,0
20161003:0130,0
20161003:0230,0
20161003:0330,0
20161003:0430,0
20161003:0530,0
20161003:0630,2041.5
20161003:0730,8827
20161003:0830,16947
20161003:0930,23670
20161003:1030,33162.5
20161003:1130,37512
20161003:1230,36919.5
20161003:1330,32117
20161003:1430,25286
20161003:1530,15619.5
20161003:1630,5007.5
20161003:1730,0
20161003:1830,0
20161003:1930,0
20161003:2030,0
20161003:2130,0
20161003:2230,0
20161003:2330,0
20161004:0030,0
20161004:0130,0
20161004:0230,0
20161004:0330,0
20161004:0430,0
20161004:0530,0
20161004:0630,2038
20161004:0730,10563
20161004:0830,13443
20161004:0930,16987
20161004:1030,23271.5
20161004:1130,25611
20161004:1230,30862.5
20161004:1330,30944.5
20161004:1430,23910.5
20161004:1530,12932
20161004:1630,4215
20161004:1730,0
20161004:1830,0
20161004:1930,0
20161004:2030,0
20161004:2130,0
20161004:2230,0
20161004:2330,0
20161005:0030,0
20161005:0130,0
20161005:0230,0
20161005:0330,0
20161005:0430,0
20161005:0530,0
20161005:0630,2640.5
20161005:0730,12964.5
20161005:0830,22793
20161005:0930,28063.5
20161005:1030,35012.5
20161005:1130,31904.5
20161005:1230,32235.5
20161005:1330,29665.5
20161005:1430,24309
20161005:1530,14828
20161005:1630,4111
20161005:1730,0
20161005:1830,0
20161005:1930,0
20161005:2030,0
20161005:2130,0
20161005:2230,0
20161005:2330,0
20161006:0030,0
20161006:0130,0
20161006:0230,0
20161006:0330,0
20161006:0430,0
20161006:0530,0
20161006:0630,537
20161006:0730,2896
20161006:0830,4487
20161006:0930,8204.5
20161006:1030,5570.5
20161006:1130,7388
20161006:1230,7025.5
20161006:1330,6821
20161006:1430,5534
20161006:1530,6638.5
20161006:1630,2039.5
20161006:1730,0
20161006:1830,0
20161006:1930,0
20161006:2030,0
20161006:2130,0
20161006:2230,0
20161006:2330,0
20161007:0030,0
20161007:0130,0
20161007:0230,0
20161007:0330,0
20161007:0430,0
20161007:0530,0
20161007:0630,31
20161007:0730,3414.5
20161007:0830,10025
20161007:0930,11636.5
20161007:1030,15018
20161007:1130,16634.5
20161007:1230,11519.5
20161007:1330,11283
20161007:1430,7884.5
20161007:1530,7299
20161007:1630,2673
20161007:1730,0
20161007:1830,0
20161007:1930,0
20161007:2030,0
20161007:2130,0
20161007:2230,0
20161007:2330,0
20161008:0030,0
20161008:0130,0
20161008:0230,0
20161008:0330,0
20161008:0430,0
20161008:0530,0
20161008:0630,0
20161008:0730,515.5
20161008:0830,1071.5
20161008:0930,2497
20161008:1030,2587.5
20161008:1130,5511.5
20161008:1230,11693.5
20161008:1330,15360.5
20161008:1430,12289
20161008:1530,2905
20161008:1630,990.5
20161008:1730,0
20161008:1830,0
20161008:1930,0
20161008:2030,0
20161008:2130,0
20161008:2230,0
20161008:2330,0
20161009:0030,0
20161009:0130,0
20161009:0230,0
20161009:0330,0
20161009:0430,0
20161009:0530,0
20161009:0630,42
20161009:0730,10640.5
20161009:0830,19654.5
20161009:0930,30610
20161009:1030,33551.5
20161009:1130,28851
20161009:1230,25353.5
20161009:1330,20756
20161009:1430,14860.5
20161009:1530,10349.5
20161009:1630,2326
20161009:1730,0
20161009:1830,0
20161009:1930,0
20161009:2030,0
20161009:2130,0
20161009:2230,0
20161009:2330,0
20161010:0030,0
20161010:0130,0
20161010:0230,0
20161010:0330,0
20161010:0430,0
20161010:0530,0
20161010:0630,60
20161010:0730,12241.5
20161010:0830,22710
20161010:0930,31824
20161010:1030,34928
20161010:1130,35867
20161010:1230,28413.5
20161010:1330,21055
20161010:1430,14819
20161010:1530,7631.5
20161010:1630,1679
20161010:1730,0
20161010:1830,0
20161010:1930,0
20161010:2030,0
20161010:2130,0
20161010:2230,0
20161010:2330,0
20161011:0030,0
20161011:0130,0
20161011:0230,0
20161011:0330,0
20161011:0430,0
20161011:0530,0
20161011:0630,37.5
20161011:0730,10041.5
20161011:0830,19745
20161011:0930,26175
20161011:1030,29390.5
20161011:1130,26550
20161011:1230,22888
20161011:1330,13511
20161011:1430,10474
20161011:1530,9406
20161011:1630,2643.5
20161011:1730,0
20161011:1830,0
20161011:1930,0
20161011:2030,0
20161011:2130,0
20161011:2230,0
20161011:2330,0
20161012:0030,0
20161012:0130,0
20161012:0230,0
20161012:0330,0
20161012:0430,0
20161012:0530,0
20161012:0630,0
20161012:0730,3845.5
20161012:0830,6234.5
20161012:0930,12493
20161012:1030,14494
20161012:1130,26703.5
20161012:1230,24684
20161012:1330,23565.5
20161012:1430,18149
20161012:1530,10365
20161012:1630,2432
20161012:1730,0
20161012:1830,0
20161012:1930,0
20161012:2030,0
20161012:2130,0
20161012:2230,0
20161012:2330,0
20161013:0030,0
20161013:0130,0
20161013:0230,0
20161013:0330,0
20161013:0430,0
20161013:0530,0
20161013:0630,0
20161013:0730,6052
20161013:0830,15725
20161013:0930,20011.5
20161013:1030,24639
20161013:1130,27936.5
20161013:1230,24457
20161013:1330,20328
20161013:1430,9633
20161013:1530,2973.5
20161013:1630,431
20161013:1730,0
20161013:1830,0
20161013:1930,0
20161013:2030,0
20161013:2130,0
20161013:2230,0
20161013:2330,0
20161014:0030,0
20161014:0130,0
20161014:0230,0
20161014:0330,0
20161014:0430,0
20161014:0530,0
20161014:0630,0
20161014:0730,4974.5
20161014:0830,13331.5
20161014:0930,22292.5
20161014:1030,21773.5
20161014:1130,22837.5
20161014:1230,21180
20161014:1330,13423
20161014:1430,3720.5
20161014:1530,2157.5
20161014:1630,404.5
20161014:1730,0
20161014:1830,0
20161014:1930,0
20161014:2030,0
20161014:2130,0
20161014:2230,0
20161014:2330,0
20161015:0030,0
20161015:0130,0
20161015:0230,0
20161015:0330,0
20161015:0430,0
20161015:0530,0
20161015:0630,0
20161015:0730,4331.5
20161015:0830,9738.5
20161015:0930,14320.5
20161015:1030,14027.5
20161015:1130,22928
20161015:1230,23215
20161015:1330,26723.5
20161015:1430,20566.5
20161015:1530,8200.5
20161015:1630,1552.5
20161015:1730,0
20161015:1830,0
20161015:1930,0
20161015:2030,0
20161015:2130,0
20161015:2230,0
20161015:2330,0
20161016:0030,0
20161016:0130,0
20161016:0230,0
20161016:0330,0
20161016:0430,0
20161016:0530,0
20161016:0630,0
20161016:0730,0
20161016:0830,1878.5
20161016:0930,7004.5
20161016:1030,13268.5
20161016:1130,16549
20161016:1230,24687
20161016:1330,24354.5
20161016:1430,18725.5
20161016:1530,5736.5
20161016:1630,1590
20161016:1730,0
20161016:1830,0
20161016:1930,0
20161016:2030,0
20161016:2130,0
20161016:2230,0
20161016:2330,0
20161017:0030,0
20161017:0130,0
20161017:0230,0
20161017:0330,0
20161017:0430,0
20161017:0530,0
20161017:0630,0
20161017:0730,7575
20161017:0830,16309
20161017:0930,25364.5
20161017:1030,30267
20161017:1130,27417
20161017:1230,26502
20161017:1330,19941.5
20161017:1430,14589.5
20161017:1530,8279.5
20161017:1630,1683
20161017:1730,0
20161017:1830,0
20161017:1930,0
20161017:2030,0
20161017:2130,0
20161017:2230,0
20161017:2330,0
20161018:0030,0
20161018:0130,0
20161018:0230,0
20161018:0330,0
20161018:0430,0
20161018:0530,0
20161018:0630,0
20161018:0730,1495
20161018:0830,4300.5
20161018:0930,9705
20161018:1030,18467.5
20161018:1130,25504
20161018:1230,26107
20161018:1330,26228
20161018:1430,19553.5
20161018:1530,11130
20161018:1630,1917.5
20161018:1730,0
20161018:1830,0
20161018:1930,0
20161018:2030,0
20161018:2130,0
20161018:2230,0
20161018:2330,0
20161019:0030,0
20161019:0130,0
20161019:0230,0
20161019:0330,0
20161019:0430,0
20161019:0530,0
20161019:0630,0
20161019:0730,8631.5
20161019:0830,20718.5
20161019:0930,28452.5
20161019:1030,27606.5
20161019:1130,26464.5
20161019:1230,23991
20161019:1330,19280.5
20161019:1430,12356
20161019:1530,6026
20161019:1630,1084.5
20161019:1730,0
20161019:1830,0
20161019:1930,0
20161019:2030,0
20161019:2130,0
20161019:2230,0
20161019:2330,0
20161020:0030,0
20161020:0130,0
20161020:0230,0
20161020:0330,0
20161020:0430,0
20161020:0530,0
20161020:0630,0
20161020:0730,3451.5
20161020:0830,9979.5
20161020:0930,17407
20161020:1030,17448.5
20161020:1130,24011.5
20161020:1230,15065.5
20161020:1330,15465.5
20161020:1430,10988.5
20161020:1530,7035
20161020:1630,1469.5
20161020:1730,0
20161020:1830,0
20161020:1930,0
20161020:2030,0
20161020:2130,0
20161020:2230,0
20161020:2330,0
20161021:0030,0
20161021:0130,0
20161021:0230,0
20161021:0330,0
20161021:0430,0
20161021:0530,0
20161021:0630,0
20161021:0730,9235.5
20161021:0830,16435
20161021:0930,21922
20161021:1030,20296.5
20161021:1130,17331
20161021:1230,13559
20161021:1330,12938
20161021:1430,5855
20161021:1530,2980.5
20161021:1630,530
20161021:1730,0
20161021:1830,0
20161021:1930,0
20161021:2030,0
20161021:2130,0
20161021:2230,0
20161021:2330,0
20161022:0030,0
20161022:0130,0
20161022:0230,0
20161022:0330,0
20161022:0430,0
20161022:0530,0
20161022:0630,0
20161022:0730,9103.5
20161022:0830,20349
20161022:0930,29412.5
20161022:1030,31093.5
20161022:1130,33006
20161022:1230,21177
20161022:1330,15231
20161022:1430,13521
20161022:1530,4633
20161022:1630,852.5
20161022:1730,0
20161022:1830,0
20161022:1930,0
20161022:2030,0
20161022:2130,0
20161022:2230,0
20161022:2330,0
20161023:0030,0
20161023:0130,0
20161023:0230,0
20161023:0330,0
20161023:0430,0
20161023:0530,0
20161023:0630,0
20161023:0730,5697.5
20161023:0830,14161
20161023:0930,18330
20161023:1030,23427
20161023:1130,26688.5
20161023:1230,28439
20161023:1330,22671.5
20161023:1430,13792.5
20161023:1530,6035
20161023:1630,484.5
20161023:1730,0
20161023:1830,0
20161023:1930,0
20161023:2030,0
20161023:2130,0
20161023:2230,0
20161023:2330,0
20161024:0030,0
20161024:0130,0
20161024:0230,0
20161024:0330,0
20161024:0430,0
20161024:0530,0
20161024:0630,0
20161024:0730,187.5
20161024:0830,588.5
20161024:0930,1843
20161024:1030,2879.5
20161024:1130,2887.5
20161024:1230,3086
20161024:1330,3831.5
20161024:1430,1439.5
20161024:1530,522
20161024:1630,0
20161024:1730,0
20161024:1830,0
20161024:1930,0
20161024:2030,0
20161024:2130,0
20161024:2230,0
20161024:2330,0
20161025:0030,0
20161025:0130,0
20161025:0230,0
20161025:0330,0
20161025:0430,0
20161025:0530,0
20161025:0630,0
20161025:0730,7554
20161025:0830,14672
20161025:0930,18771
20161025:1030,22153
20161025:1130,15533
20161025:1230,20499.5
20161025:1330,12699
20161025:1430,3363.5
20161025:1530,1978
20161025:1630,4.5
20161025:1730,0
20161025:1830,0
20161025:1930,0
20161025:2030,0
20161025:2130,0
20161025:2230,0
20161025:2330,0
20161026:0030,0
20161026:0130,0
20161026:0230,0
20161026:0330,0
20161026:0430,0
20161026:0530,0
20161026:0630,0
20161026:0730,922
20161026:0830,2445.5
20161026:0930,7369.5
20161026:1030,14304.5
20161026:1130,16102.5
20161026:1230,14305.5
20161026:1330,8813.5
20161026:1430,6989.5
20161026:1530,2968
20161026:1630,18
20161026:1730,0
20161026:1830,0
20161026:1930,0
20161026:2030,0
20161026:2130,0
20161026:2230,0
20161026:2330,0
20161027:0030,0
20161027:0130,0
20161027:0230,0
20161027:0330,0
20161027:0430,0
20161027:0530,0
20161027:0630,0
20161027:0730,5243.5
20161027:0830,10953.5
20161027:0930,16277
20161027:1030,20220
20161027:1130,26082
20161027:1230,25816.5
20161027:1330,13349.5
20161027:1430,4558
20161027:1530,1078
20161027:1630,0
20161027:1730,0
20161027:1830,0
20161027:1930,0
20161027:2030,0
20161027:2130,0
20161027:2230,0
20161027:2330,0
20161028:0030,0
20161028:0130,0
20161028:0230,0
20161028:0330,0
20161028:0430,0
20161028:0530,0
20161028:0630,0
20161028:0730,5040.5
20161028:0830,13022.5
20161028:0930,19188
20161028:1030,20549.5
20161028:1130,23541.5
20161028:1230,10219
20161028:1330,6862
20161028:1430,2929
20161028:1530,985
20161028:1630,0
20161028:1730,0
